Name,Country Code,Year,Population,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2022,41128771,,,,,,,,,,,,,,,,,,,
Albania,ALB,2022,2775634,,,,,,,,,,,,,,,,,,,
Algeria,DZA,2022,44903225,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,2022,44273,,,,,,,,,,,,,,,,,,,
Andorra,AND,2022,79824,,,,,,,,,,,,,,,,,,,
Angola,AGO,2022,35588987,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2022,93763,,,,,,,,,,,,,,,,,,,
Argentina,ARG,2022,46234830,,,,,,,,,,,,,,,,,,,
Armenia,ARM,2022,2780469,,,,,,,,,,,,,,,,,,,
Armenia,ARM,2022,2780469,,,,,,,,,,,,,,,,,,,
Aruba,ABW,2022,106445,,,,,,,,,,,,,,,,,,,
Australia,AUS,2022,25978935,,,,,,,,,,,,,,,,,,,
Austria,AUT,2022,9042528,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,2022,10175016,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,2022,10175016,,,,,,,,,,,,,,,,,,,
"Bahamas, The",BHS,2022,409984,,,,,,,,,,,,,,,,,,,
Bahrain,BHR,2022,1472233,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,2022,171186372,,,,,,,,,,,,,,,,,,,
Barbados,BRB,2022,281635,,,,,,,,,,,,,,,,,,,
Belarus,BLR,2022,9208701,,,,,,,,,,,,,,,,,,,
Belgium,BEL,2022,11669446,,,,,,,,,,,,,,,,,,,
Belize,BLZ,2022,405272,,,,,,,,,,,,,,,,,,,
Benin,BEN,2022,13352864,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,2022,63532,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,2022,782455,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,2022,12224110,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,2022,3233526,,,,,,,,,,,,,,,,,,,
Botswana,BWA,2022,2630296,,,,,,,,,,,,,,,,,,,
Brazil,BRA,2022,215313498,,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,2022,31305,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,2022,449002,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,2022,6465097,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,2022,22673762,,,,,,,,,,,,,,,,,,,
Burundi,BDI,2022,12889576,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,2022,593149,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,2022,16767842,,,,,,,,,,,,,,,,,,,
Cameroon,CMR,2022,27914536,,,,,,,,,,,,,,,,,,,
Canada,CAN,2022,38929902,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,2022,68706,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,2022,5579144,,,,,,,,,,,,,,,,,,,
Chad,TCD,2022,17723315,,,,,,,,,,,,,,,,,,,
Chile,CHL,2022,19603733,,,,,,,,,,,,,,,,,,,
China,CHN,2022,1412175000,,,,,,,,,,,,,,,,,,,
Colombia,COL,2022,51874024,,,,,,,,,,,,,,,,,,,
Comoros,COM,2022,836774,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",COD,2022,99010212,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",COG,2022,5970424,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,2022,5180829,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,CIV,2022,28160542,,,,,,,,,,,,,,,,,,,
Croatia,HRV,2022,3854000,,,,,,,,,,,,,,,,,,,
Cuba,CUB,2022,11212191,,,,,,,,,,,,,,,,,,,
Curacao,CUW,2022,149996,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,2022,1251488,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,2022,1251488,,,,,,,,,,,,,,,,,,,
Czechia,CZE,2022,10526073,,,,,,,,,,,,,,,,,,,
Denmark,DNK,2022,5903037,,,,,,,,,,,,,,,,,,,
Djibouti,DJI,2022,1120849,,,,,,,,,,,,,,,,,,,
Dominica,DMA,2022,72737,,,,,,,,,,,,,,,,,,,
Dominican Republic,DOM,2022,11228821,,,,,,,,,,,,,,,,,,,
Ecuador,ECU,2022,18001000,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,2022,110990103,,,,,,,,,,,,,,,,,,,
El Salvador,SLV,2022,6336392,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,GNQ,2022,1674908,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,2022,3684032,,,,,,,,,,,,,,,,,,,
Estonia,EST,2022,1344768,,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,2022,1201670,,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,2022,123379924,,,,,,,,,,,,,,,,,,,
Faroe Islands,FRO,2022,53090,,,,,,,,,,,,,,,,,,,
Fiji,FJI,2022,929766,,,,,,,,,,,,,,,,,,,
Finland,FIN,2022,5556880,,,,,,,,,,,,,,,,,,,
France,FRA,2022,67935660,,,,,,,,,,,,,,,,,,,
French Polynesia,PYF,2022,306279,,,,,,,,,,,,,,,,,,,
Gabon,GAB,2022,2388992,,,,,,,,,,,,,,,,,,,
"Gambia, The",GMB,2022,2705992,,,,,,,,,,,,,,,,,,,
Georgia,GEO,2022,3712502,,,,,,,,,,,,,,,,,,,
Georgia,GEO,2022,3712502,,,,,,,,,,,,,,,,,,,
Germany,DEU,2022,84079811,,,,,,,,,,,,,,,,,,,
Ghana,GHA,2022,33475870,,,,,,,,,,,,,,,,,,,
Gibraltar,GIB,2022,32649,,,,,,,,,,,,,,,,,,,
Greece,GRC,2022,10566531,,,,,,,,,,,,,,,,,,,
Greenland,GRL,2022,56661,,,,,,,,,,,,,,,,,,,
Grenada,GRD,2022,125438,,,,,,,,,,,,,,,,,,,
Guam,GUM,2022,171774,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,2022,17357886,,,,,,,,,,,,,,,,,,,
Guinea,GIN,2022,13859341,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,GNB,2022,2105566,,,,,,,,,,,,,,,,,,,
Guyana,GUY,2022,808726,,,,,,,,,,,,,,,,,,,
Haiti,HTI,2022,11584996,,,,,,,,,,,,,,,,,,,
Honduras,HND,2022,10432860,,,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,2022,7346100,,,,,,,,,,,,,,,,,,,
Hungary,HUN,2022,9683505,,,,,,,,,,,,,,,,,,,
Iceland,ISL,2022,381900,,,,,,,,,,,,,,,,,,,
India,IND,2022,1417173173,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,2022,275501339,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,2022,88550570,,,,,,,,,,,,,,,,,,,
Iraq,IRQ,2022,44496122,,,,,,,,,,,,,,,,,,,
Ireland,IRL,2022,5086988,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,2022,84519,,,,,,,,,,,,,,,,,,,
Israel,ISR,2022,9550600,,,,,,,,,,,,,,,,,,,
Italy,ITA,2022,58856847,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,2022,2827377,,,,,,,,,,,,,,,,,,,
Japan,JPN,2022,125124989,,,,,,,,,,,,,,,,,,,
Jordan,JOR,2022,11285869,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,2022,19621972,,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,2022,19621972,,,,,,,,,,,,,,,,,,,
Kenya,KEN,2022,54027487,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,2022,131232,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,2022,26069416,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,2022,51628117,,,,,,,,,,,,,,,,,,,
Kuwait,KWT,2022,4268873,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,2022,6803300,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,2022,7529475,,,,,,,,,,,,,,,,,,,
Latvia,LVA,2022,1883379,,,,,,,,,,,,,,,,,,,
Lebanon,LBN,2022,5489739,,,,,,,,,,,,,,,,,,,
Lesotho,LSO,2022,2305825,,,,,,,,,,,,,,,,,,,
Liberia,LBR,2022,5302681,,,,,,,,,,,,,,,,,,,
Libya,LBY,2022,6812341,,,,,,,,,,,,,,,,,,,
Liechtenstein,LIE,2022,39327,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,2022,2833000,,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,2022,650774,,,,,,,,,,,,,,,,,,,
"Macao SAR, China",MAC,2022,695168,,,,,,,,,,,,,,,,,,,
Madagascar,MDG,2022,29611714,,,,,,,,,,,,,,,,,,,
Malawi,MWI,2022,20405317,,,,,,,,,,,,,,,,,,,
Malaysia,MYS,2022,33938221,,,,,,,,,,,,,,,,,,,
Maldives,MDV,2022,523787,,,,,,,,,,,,,,,,,,,
Mali,MLI,2022,22593590,,,,,,,,,,,,,,,,,,,
Malta,MLT,2022,523417,,,,,,,,,,,,,,,,,,,
Marshall Islands,MHL,2022,41569,,,,,,,,,,,,,,,,,,,
Mauritania,MRT,2022,4736139,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,2022,1262523,,,,,,,,,,,,,,,,,,,
Mexico,MEX,2022,127504125,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,2022,114164,,,,,,,,,,,,,,,,,,,
Moldova,MDA,2022,2592477,,,,,,,,,,,,,,,,,,,
Monaco,MCO,2022,36469,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,2022,3398366,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,2022,616159,,,,,,,,,,,,,,,,,,,
Morocco,MAR,2022,37457971,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,2022,32969518,,,,,,,,,,,,,,,,,,,
Myanmar,MMR,2022,54179306,,,,,,,,,,,,,,,,,,,
Namibia,NAM,2022,2567012,,,,,,,,,,,,,,,,,,,
Nauru,NRU,2022,12668,,,,,,,,,,,,,,,,,,,
Nepal,NPL,2022,30547580,,,,,,,,,,,,,,,,,,,
Netherlands,NLD,2022,17703090,,,,,,,,,,,,,,,,,,,
New Caledonia,NCL,2022,276780,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,2022,5124100,,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,2022,6948392,,,,,,,,,,,,,,,,,,,
Niger,NER,2022,26207977,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,2022,218541212,,,,,,,,,,,,,,,,,,,
North Macedonia,MKD,2022,2057679,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,MNP,2022,49551,,,,,,,,,,,,,,,,,,,
Norway,NOR,2022,5457127,,,,,,,,,,,,,,,,,,,
Oman,OMN,2022,4576298,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,2022,235824862,,,,,,,,,,,,,,,,,,,
Palau,PLW,2022,18055,,,,,,,,,,,,,,,,,,,
Panama,PAN,2022,4408581,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,2022,10142619,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,2022,6780744,,,,,,,,,,,,,,,,,,,
Peru,PER,2022,34049588,,,,,,,,,,,,,,,,,,,
Philippines,PHL,2022,115559009,,,,,,,,,,,,,,,,,,,
Poland,POL,2022,37561599,,,,,,,,,,,,,,,,,,,
Portugal,PRT,2022,10379007,,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,2022,3221789,,,,,,,,,,,,,,,,,,,
Qatar,QAT,2022,2695122,,,,,,,,,,,,,,,,,,,
Romania,ROU,2022,18956666,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2022,143555736,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,2022,143555736,,,,,,,,,,,,,,,,,,,
Rwanda,RWA,2022,13776698,,,,,,,,,,,,,,,,,,,
Samoa,WSM,2022,222382,,,,,,,,,,,,,,,,,,,
San Marino,SMR,2022,33660,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,2022,227380,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,2022,36408820,,,,,,,,,,,,,,,,,,,
Senegal,SEN,2022,17316449,,,,,,,,,,,,,,,,,,,
Serbia,SRB,2022,6760087,,,,,,,,,,,,,,,,,,,
Seychelles,SYC,2022,100060,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,2022,8605718,,,,,,,,,,,,,,,,,,,
Singapore,SGP,2022,5637022,,,,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),SXM,2022,43389,,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,2022,5431752,,,,,,,,,,,,,,,,,,,
Slovenia,SVN,2022,2108732,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,2022,724273,,,,,,,,,,,,,,,,,,,
Somalia,SOM,2022,17597511,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,2022,59893885,,,,,,,,,,,,,,,,,,,
South Sudan,SSD,2022,10913164,,,,,,,,,,,,,,,,,,,
Spain,ESP,2022,47615034,,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,2022,22181000,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,KNA,2022,47657,,,,,,,,,,,,,,,,,,,
St. Lucia,LCA,2022,179857,,,,,,,,,,,,,,,,,,,
St. Martin (French part),MAF,2022,31791,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,VCT,2022,103948,,,,,,,,,,,,,,,,,,,
Sudan,SDN,2022,46874204,,,,,,,,,,,,,,,,,,,
Suriname,SUR,2022,618040,,,,,,,,,,,,,,,,,,,
Sweden,SWE,2022,10486941,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,2022,8769741,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,SYR,2022,22125249,,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,2022,9952787,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,2022,65497748,,,,,,,,,,,,,,,,,,,
Thailand,THA,2022,71697030,,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,2022,1341296,,,,,,,,,,,,,,,,,,,
Togo,TGO,2022,8848699,,,,,,,,,,,,,,,,,,,
Tonga,TON,2022,106858,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2022,1531044,,,,,,,,,,,,,,,,,,,
Tunisia,TUN,2022,12356117,,,,,,,,,,,,,,,,,,,
Turkiye,TUR,2022,85341241,,,,,,,,,,,,,,,,,,,
Turkiye,TUR,2022,85341241,,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,2022,6430770,,,,,,,,,,,,,,,,,,,
Turks and Caicos Islands,TCA,2022,45703,,,,,,,,,,,,,,,,,,,
Tuvalu,TUV,2022,11312,,,,,,,,,,,,,,,,,,,
Uganda,UGA,2022,47249585,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,2022,38000000,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,2022,9441129,,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,2022,66971411,,,,,,,,,,,,,,,,,,,
United States,USA,2022,333287557,,,,,,,,,,,,,,,,,,,
Uruguay,URY,2022,3422794,,,,,,,,,,,,,,,,,,,
Uzbekistan,UZB,2022,35648100,,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,2022,326740,,,,,,,,,,,,,,,,,,,
"Venezuela, RB",VEN,2022,28301696,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,2022,98186856,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),VIR,2022,105413,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,PSE,2022,5043612,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",YEM,2022,33696614,,,,,,,,,,,,,,,,,,,
Zambia,ZMB,2022,20017675,,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,2022,16320537,,,,,,,,,,,,,,,,,,,
